Image,Label
maksssksksss0-0.png,Not Wearing Mask
maksssksksss0-1.png,Wearing Mask Correctly
maksssksksss0-2.png,Not Wearing Mask
maksssksksss1-0.png,Wearing Mask Correctly
maksssksksss1-1.png,Wearing Mask Correctly
maksssksksss1-2.png,Wearing Mask Correctly
maksssksksss1-3.png,Wearing Mask Correctly
maksssksksss1-4.png,Wearing Mask Correctly
maksssksksss1-5.png,Wearing Mask Correctly
maksssksksss1-6.png,Wearing Mask Correctly
maksssksksss1-7.png,Wearing Mask Correctly
maksssksksss1-8.png,Not Wearing Mask
maksssksksss10-0.png,Wearing Mask Correctly
maksssksksss100-0.png,Wearing Mask Correctly
maksssksksss100-1.png,Wearing Mask Correctly
maksssksksss100-2.png,Wearing Mask Correctly
maksssksksss101-0.png,Wearing Mask Correctly
maksssksksss102-0.png,Wearing Mask Correctly
maksssksksss103-0.png,Wearing Mask Correctly
maksssksksss103-1.png,Wearing Mask Correctly
maksssksksss103-2.png,Wearing Mask Correctly
maksssksksss103-3.png,Wearing Mask Correctly
maksssksksss104-0.png,Not Wearing Mask
maksssksksss104-1.png,Not Wearing Mask
maksssksksss104-2.png,Not Wearing Mask
maksssksksss104-3.png,Wearing Mask Correctly
maksssksksss104-4.png,Wearing Mask Correctly
maksssksksss104-5.png,Not Wearing Mask
maksssksksss104-6.png,Not Wearing Mask
maksssksksss104-7.png,Not Wearing Mask
maksssksksss105-0.png,Wearing Mask Correctly
maksssksksss105-1.png,Wearing Mask Correctly
maksssksksss105-2.png,Wearing Mask Correctly
maksssksksss105-3.png,Wearing Mask Correctly
maksssksksss105-4.png,Wearing Mask Correctly
maksssksksss105-5.png,Wearing Mask Correctly
maksssksksss105-6.png,Wearing Mask Correctly
maksssksksss105-7.png,Wearing Mask Correctly
maksssksksss105-8.png,Wearing Mask Correctly
maksssksksss106-0.png,Wearing Mask Correctly
maksssksksss107-0.png,Wearing Mask Correctly
maksssksksss108-0.png,Wearing Mask Correctly
maksssksksss108-1.png,Wearing Mask Correctly
maksssksksss108-2.png,Wearing Mask Correctly
maksssksksss108-3.png,Wearing Mask Correctly
maksssksksss108-4.png,Not Wearing Mask
maksssksksss109-0.png,Wearing Mask Correctly
maksssksksss11-0.png,Wearing Mask Incorrectly
maksssksksss11-1.png,Wearing Mask Correctly
maksssksksss11-10.png,Wearing Mask Correctly
maksssksksss11-11.png,Wearing Mask Correctly
maksssksksss11-12.png,Wearing Mask Correctly
maksssksksss11-13.png,Wearing Mask Correctly
maksssksksss11-14.png,Wearing Mask Correctly
maksssksksss11-15.png,Wearing Mask Correctly
maksssksksss11-2.png,Wearing Mask Correctly
maksssksksss11-3.png,Wearing Mask Correctly
maksssksksss11-4.png,Wearing Mask Correctly
maksssksksss11-5.png,Wearing Mask Correctly
maksssksksss11-6.png,Wearing Mask Correctly
maksssksksss11-7.png,Wearing Mask Correctly
maksssksksss11-8.png,Wearing Mask Correctly
maksssksksss11-9.png,Wearing Mask Correctly
maksssksksss110-0.png,Not Wearing Mask
maksssksksss110-1.png,Not Wearing Mask
maksssksksss110-10.png,Not Wearing Mask
maksssksksss110-11.png,Not Wearing Mask
maksssksksss110-12.png,Not Wearing Mask
maksssksksss110-13.png,Wearing Mask Correctly
maksssksksss110-14.png,Wearing Mask Correctly
maksssksksss110-15.png,Not Wearing Mask
maksssksksss110-16.png,Not Wearing Mask
maksssksksss110-17.png,Not Wearing Mask
maksssksksss110-18.png,Not Wearing Mask
maksssksksss110-19.png,Wearing Mask Correctly
