HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url,Answer.annotatedResult.boundingBoxes,Answer.annotatedResult.inputImageProperties.height,Answer.annotatedResult.inputImageProperties.width,Approve,Reject
301KG0KX9C0521TJO3LBIFZIG0DH2A,3EI427GH2WWMEJU88Y4HY8Q4S6S0V9,Draw bounding boxes around faces,Draw bounding boxes around all visible faces,"bounding box, face",$0.01,Sat Apr 24 17:34:24 PDT 2021,1,BatchId:4420058;OriginalHitTemplateId:928390838;,3600,259200,Sat May 01 17:34:24 PDT 2021,,,3EO896NRAXBX0QGGLKDTKZKA3LJJTK,A2NSRHX8GMEMV0,Approved,Sat Apr 24 18:02:02 PDT 2021,Sat Apr 24 18:02:06 PDT 2021,Tue Apr 27 18:02:06 PDT 2021,Sat Apr 24 19:48:41 PDT 2021,,,4,100% (145/145),100% (145/145),100% (145/145),https://wym-mask-images.s3.amazonaws.com/maksssksksss432.png,"[{""height"":73,""label"":""Face"",""left"":181,""top"":75,""width"":66}]",243,400,,
304QEQWKZPZ8Y8CSDTCNJ034VO70OX,3EI427GH2WWMEJU88Y4HY8Q4S6S0V9,Draw bounding boxes around faces,Draw bounding boxes around all visible faces,"bounding box, face",$0.01,Sat Apr 24 17:34:04 PDT 2021,1,BatchId:4420058;OriginalHitTemplateId:928390838;,3600,259200,Sat May 01 17:34:04 PDT 2021,,,3LOZAJ85YET4BBRSJ98YALJZE6KX2T,A1T98U1UWD1GSL,Approved,Sat Apr 24 17:57:09 PDT 2021,Sat Apr 24 17:57:56 PDT 2021,Tue Apr 27 17:57:56 PDT 2021,Sat Apr 24 19:48:47 PDT 2021,,,47,100% (8/8),100% (8/8),100% (8/8),https://wym-mask-images.s3.amazonaws.com/maksssksksss462.png,"[{""height"":35,""label"":""Face"",""left"":119,""top"":38,""width"":29}]",400,268,,
306996CF6WZOM38157B1RLMFTHU1BX,3EI427GH2WWMEJU88Y4HY8Q4S6S0V9,Draw bounding boxes around faces,Draw bounding boxes around all visible faces,"bounding box, face",$0.01,Sat Apr 24 17:34:11 PDT 2021,1,BatchId:4420058;OriginalHitTemplateId:928390838;,3600,259200,Sat May 01 17:34:11 PDT 2021,,,3D8YOU6S9F00C8GY169EGR170T76UT,A2FWRZLIE1I60V,Approved,Sat Apr 24 18:12:29 PDT 2021,Sat Apr 24 18:13:08 PDT 2021,Tue Apr 27 18:13:08 PDT 2021,Sat Apr 24 19:48:15 PDT 2021,,,39,100% (38/38),100% (38/38),100% (38/38),https://wym-mask-images.s3.amazonaws.com/maksssksksss298.png,"[{""height"":98,""label"":""Face"",""left"":124,""top"":114,""width"":85},{""height"":88,""label"":""Face"",""left"":248,""top"":52,""width"":76}]",282,400,,
306996CF6WZOM38157B1RLMFTHUB17,3EI427GH2WWMEJU88Y4HY8Q4S6S0V9,Draw bounding boxes around faces,Draw bounding boxes around all visible faces,"bounding box, face",$0.01,Sat Apr 24 17:34:17 PDT 2021,1,BatchId:4420058;OriginalHitTemplateId:928390838;,3600,259200,Sat May 01 17:34:17 PDT 2021,,,3Y4W8Q93L00ZAWKDGJRXIJDIVMZVDV,A1DDFU2CUOQ1ZR,Approved,Sat Apr 24 17:44:46 PDT 2021,Sat Apr 24 17:44:58 PDT 2021,Tue Apr 27 17:44:58 PDT 2021,Sat Apr 24 19:48:32 PDT 2021,,,12,100% (15/15),100% (15/15),100% (15/15),https://wym-mask-images.s3.amazonaws.com/maksssksksss205.png,"[{""height"":102,""label"":""Face"",""left"":86,""top"":244,""width"":70}]",400,301,,
306W7JMRYYD6X3SM4SKG6V9N7N08BO,3EI427GH2WWMEJU88Y4HY8Q4S6S0V9,Draw bounding boxes around faces,Draw bounding boxes around all visible faces,"bounding box, face",$0.01,Sat Apr 24 17:34:12 PDT 2021,1,BatchId:4420058;OriginalHitTemplateId:928390838;,3600,259200,Sat May 01 17:34:12 PDT 2021,,,3HRMW88U176MLPPAQF2BGGAMA4JM0H,A32BUVD6WINH9U,Approved,Sat Apr 24 18:22:47 PDT 2021,Sat Apr 24 18:22:57 PDT 2021,Tue Apr 27 18:22:57 PDT 2021,Sat Apr 24 19:48:18 PDT 2021,,,10,100% (80/80),100% (80/80),100% (80/80),https://wym-mask-images.s3.amazonaws.com/maksssksksss31.png,"[{""height"":75,""label"":""Face"",""left"":209,""top"":90,""width"":69},{""height"":75,""label"":""Face"",""left"":144,""top"":60,""width"":58}]",267,400,,
306W7JMRYYD6X3SM4SKG6V9N7N0B8R,3EI427GH2WWMEJU88Y4HY8Q4S6S0V9,Draw bounding boxes around faces,Draw bounding boxes around all visible faces,"bounding box, face",$0.01,Sat Apr 24 17:34:19 PDT 2021,1,BatchId:4420058;OriginalHitTemplateId:928390838;,3600,259200,Sat May 01 17:34:19 PDT 2021,,,3YW4XOSQKR155MF1V0XXLVAQSIP1UO,A176RI4BEE308Z,Approved,Sat Apr 24 17:53:23 PDT 2021,Sat Apr 24 17:54:58 PDT 2021,Tue Apr 27 17:54:58 PDT 2021,Sat Apr 24 19:48:32 PDT 2021,,,95,100% (27/27),100% (27/27),100% (27/27),https://wym-mask-images.s3.amazonaws.com/maksssksksss386.png,"[{""height"":32,""label"":""Face"",""left"":83,""top"":43,""width"":27},{""height"":29,""label"":""Face"",""left"":139,""top"":65,""width"":28},{""height"":19,""label"":""Face"",""left"":185,""top"":70,""width"":19},{""height"":21,""label"":""Face"",""left"":228,""top"":67,""width"":20},{""height"":14,""label"":""Face"",""left"":249,""top"":76,""width"":13},{""height"":13,""label"":""Face"",""left"":262,""top"":68,""width"":11},{""height"":7,""label"":""Face"",""left"":283,""top"":73,""width"":5},{""height"":6,""label"":""Face"",""left"":290,""top"":72,""width"":5},{""height"":6,""label"":""Face"",""left"":314,""top"":75,""width"":6}]",268,400,,
307FVKVSYRUICQ2UF8INKH7MMBD47R,3EI427GH2WWMEJU88Y4HY8Q4S6S0V9,Draw bounding boxes around faces,Draw bounding boxes around all visible faces,"bounding box, face",$0.01,Sat Apr 24 17:34:19 PDT 2021,1,BatchId:4420058;OriginalHitTemplateId:928390838;,3600,259200,Sat May 01 17:34:19 PDT 2021,,,3NVC2EB65RFIWYDLS585C9V0MQG3YI,A2NSRHX8GMEMV0,Approved,Sat Apr 24 18:08:44 PDT 2021,Sat Apr 24 18:08:55 PDT 2021,Tue Apr 27 18:08:55 PDT 2021,Sat Apr 24 19:48:32 PDT 2021,,,11,100% (145/145),100% (145/145),100% (145/145),https://wym-mask-images.s3.amazonaws.com/maksssksksss384.png,"[{""height"":14,""label"":""Face"",""left"":37,""top"":244,""width"":13},{""height"":17,""label"":""Face"",""left"":146,""top"":238,""width"":15},{""height"":12,""label"":""Face"",""left"":186,""top"":265,""width"":8},{""height"":17,""label"":""Face"",""left"":221,""top"":237,""width"":17}]",400,267,,
307L9TDWJY7MXFBDV1UT69168QM3NG,3EI427GH2WWMEJU88Y4HY8Q4S6S0V9,Draw bounding boxes around faces,Draw bounding boxes around all visible faces,"bounding box, face",$0.01,Sat Apr 24 17:34:12 PDT 2021,1,BatchId:4420058;OriginalHitTemplateId:928390838;,3600,259200,Sat May 01 17:34:12 PDT 2021,,,3DR23U6WE6UPPAUO7J22NJ7IYDLETS,A3E3R2Y577HGEN,Approved,Sat Apr 24 17:47:57 PDT 2021,Sat Apr 24 17:52:14 PDT 2021,Tue Apr 27 17:52:14 PDT 2021,Sat Apr 24 19:48:18 PDT 2021,,,257,100% (80/80),100% (80/80),100% (80/80),https://wym-mask-images.s3.amazonaws.com/maksssksksss310.png,"[{""height"":27,""label"":""Face"",""left"":21,""top"":32,""width"":23},{""height"":23,""label"":""Face"",""left"":63,""top"":37,""width"":22},{""height"":22,""label"":""Face"",""left"":228,""top"":28,""width"":20},{""height"":22,""label"":""Face"",""left"":248,""top"":78,""width"":20},{""height"":19,""label"":""Face"",""left"":333,""top"":51,""width"":15},{""height"":9,""label"":""Face"",""left"":388,""top"":63,""width"":8}]",267,400,,
308KJXFUJRLKCDFI1CVF2GL43I0ATK,3EI427GH2WWMEJU88Y4HY8Q4S6S0V9,Draw bounding boxes around faces,Draw bounding boxes around all visible faces,"bounding box, face",$0.01,Sat Apr 24 17:34:14 PDT 2021,1,BatchId:4420058;OriginalHitTemplateId:928390838;,3600,259200,Sat May 01 17:34:14 PDT 2021,,,37ZHEEHM6X2ZHEHK5WI5ZWB3IR337D,A12HQ561AI1UVY,Approved,Sat Apr 24 17:37:17 PDT 2021,Sat Apr 24 17:37:27 PDT 2021,Tue Apr 27 17:37:27 PDT 2021,Sat Apr 24 19:48:20 PDT 2021,,,10,100% (5/5),100% (5/5),100% (5/5),https://wym-mask-images.s3.amazonaws.com/maksssksksss322.png,"[{""height"":153,""label"":""Face"",""left"":60,""top"":100,""width"":126}]",400,301,,
308KJXFUJRLKCDFI1CVF2GL43IZTA2,3EI427GH2WWMEJU88Y4HY8Q4S6S0V9,Draw bounding boxes around faces,Draw bounding boxes around all visible faces,"bounding box, face",$0.01,Sat Apr 24 17:34:05 PDT 2021,1,BatchId:4420058;OriginalHitTemplateId:928390838;,3600,259200,Sat May 01 17:34:05 PDT 2021,,,3XXU1SWE8NBLJOGLTCC67PFMGNR0A8,AQQLPMNOK4BU8,Approved,Sat Apr 24 17:50:39 PDT 2021,Sat Apr 24 17:51:01 PDT 2021,Tue Apr 27 17:51:01 PDT 2021,Sat Apr 24 19:48:48 PDT 2021,,,22,100% (48/48),100% (48/48),100% (48/48),https://wym-mask-images.s3.amazonaws.com/maksssksksss47.png,"[{""height"":143,""label"":""Face"",""left"":152,""top"":64,""width"":133}]",268,400,,
