HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image1,Input.image2,Input.image3,Input.image4,Input.image5,Input.image6,Input.wmc_qc,Input.wmi_qc,Input.nwm_qc,Answer.image1,Answer.image2,Answer.image3,Answer.image4,Answer.image5,Answer.image6,Answer.nwm_qc,Answer.wmc_qc,Answer.wmi_qc,Approve,Reject
3EHVO81VN50YDGBN5ZLXDWPDOUYH1S,3KYKM8PUWFRDDAYLMW5WL5X2N313HH,Label each image depending on how the mask is worn,"Categorize each image as either wearing mask correctly, wearing mask incorrectly, or not wearing mask. Wearing mask correctly means that the mask covers the nose and the mouth.","categorize, image, mask",$0.01,Sat Apr 24 17:19:43 PDT 2021,3,BatchId:4420053;OriginalHitTemplateId:928390873;,3600,259200,Sat May 01 17:19:43 PDT 2021,,,34J10VATJGEODZ4IMYYY3TUN6ZRIQP,A1Z1U7HLU0K6JU,Submitted,Sat Apr 24 17:30:29 PDT 2021,Sat Apr 24 17:30:38 PDT 2021,Tue Apr 27 17:30:38 PDT 2021,,,,9,0% (0/0),0% (0/0),0% (0/0),https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-12.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-13.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-14.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-15.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-16.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-17.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss526-1.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss847-2.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss526-0.png,Wearing Mask Correctly,Wearing Mask Correctly,Wearing Mask Correctly,Wearing Mask Incorrectly,Wearing Mask Correctly,Wearing Mask Correctly,Not Wearing Mask,Wearing Mask Correctly,Wearing Mask Incorrectly,,
3EHVO81VN50YDGBN5ZLXDWPDOUYH1S,3KYKM8PUWFRDDAYLMW5WL5X2N313HH,Label each image depending on how the mask is worn,"Categorize each image as either wearing mask correctly, wearing mask incorrectly, or not wearing mask. Wearing mask correctly means that the mask covers the nose and the mouth.","categorize, image, mask",$0.01,Sat Apr 24 17:19:43 PDT 2021,3,BatchId:4420053;OriginalHitTemplateId:928390873;,3600,259200,Sat May 01 17:19:43 PDT 2021,,,354P56DE9LJ31V2ZVBJ674JFA717S8,A2W3SU4RZN9AZD,Submitted,Sat Apr 24 17:27:44 PDT 2021,Sat Apr 24 17:28:29 PDT 2021,Tue Apr 27 17:28:29 PDT 2021,,,,45,0% (0/0),0% (0/0),0% (0/0),https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-12.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-13.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-14.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-15.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-16.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-17.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss526-1.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss847-2.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss526-0.png,Wearing Mask Correctly,Wearing Mask Correctly,Wearing Mask Correctly,Wearing Mask Correctly,Wearing Mask Correctly,Wearing Mask Correctly,Not Wearing Mask,Wearing Mask Correctly,Wearing Mask Incorrectly,,
3EHVO81VN50YDGBN5ZLXDWPDOUYH1S,3KYKM8PUWFRDDAYLMW5WL5X2N313HH,Label each image depending on how the mask is worn,"Categorize each image as either wearing mask correctly, wearing mask incorrectly, or not wearing mask. Wearing mask correctly means that the mask covers the nose and the mouth.","categorize, image, mask",$0.01,Sat Apr 24 17:19:43 PDT 2021,3,BatchId:4420053;OriginalHitTemplateId:928390873;,3600,259200,Sat May 01 17:19:43 PDT 2021,,,3F0BG9B9MQ30XHE8UHBVPQ7GRSY7YN,A34JT9RNHPBH31,Submitted,Sat Apr 24 17:36:41 PDT 2021,Sat Apr 24 17:36:46 PDT 2021,Tue Apr 27 17:36:46 PDT 2021,,,,5,0% (0/0),0% (0/0),0% (0/0),https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-12.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-13.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-14.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-15.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-16.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-17.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss526-1.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss847-2.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss526-0.png,Not Wearing Mask,Not Wearing Mask,Not Wearing Mask,Not Wearing Mask,Not Wearing Mask,Not Wearing Mask,Wearing Mask Incorrectly,Wearing Mask Correctly,Wearing Mask Correctly,,
3CIS7GGG65Y223BJHMNB3VXX7B4EU9,3KYKM8PUWFRDDAYLMW5WL5X2N313HH,Label each image depending on how the mask is worn,"Categorize each image as either wearing mask correctly, wearing mask incorrectly, or not wearing mask. Wearing mask correctly means that the mask covers the nose and the mouth.","categorize, image, mask",$0.01,Sat Apr 24 17:19:43 PDT 2021,3,BatchId:4420053;OriginalHitTemplateId:928390873;,3600,259200,Sat May 01 17:19:43 PDT 2021,,,3DIP6YHAPD86RQ204LR7WNBVK0Y8EV,A3N4J0LCOYL05P,Submitted,Sat Apr 24 17:29:19 PDT 2021,Sat Apr 24 17:31:45 PDT 2021,Tue Apr 27 17:31:45 PDT 2021,,,,146,100% (13/13),100% (13/13),100% (13/13),https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-18.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-19.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-20.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-21.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-22.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-23.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss526-2.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss388-12.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss526-3.png,Wearing Mask Correctly,Wearing Mask Correctly,Wearing Mask Correctly,Wearing Mask Incorrectly,Wearing Mask Correctly,Wearing Mask Correctly,Wearing Mask Incorrectly,Wearing Mask Correctly,Wearing Mask Incorrectly,,
3CIS7GGG65Y223BJHMNB3VXX7B4EU9,3KYKM8PUWFRDDAYLMW5WL5X2N313HH,Label each image depending on how the mask is worn,"Categorize each image as either wearing mask correctly, wearing mask incorrectly, or not wearing mask. Wearing mask correctly means that the mask covers the nose and the mouth.","categorize, image, mask",$0.01,Sat Apr 24 17:19:43 PDT 2021,3,BatchId:4420053;OriginalHitTemplateId:928390873;,3600,259200,Sat May 01 17:19:43 PDT 2021,,,3EF8EXOTT2BWR647J1TJET1FB2P1JQ,A34JT9RNHPBH31,Submitted,Sat Apr 24 17:37:42 PDT 2021,Sat Apr 24 17:37:46 PDT 2021,Tue Apr 27 17:37:46 PDT 2021,,,,4,0% (0/0),0% (0/0),0% (0/0),https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-18.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-19.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-20.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-21.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-22.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-23.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss526-2.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss388-12.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss526-3.png,Wearing Mask Correctly,Wearing Mask Correctly,Wearing Mask Correctly,Wearing Mask Correctly,Wearing Mask Correctly,Wearing Mask Correctly,Not Wearing Mask,Not Wearing Mask,Wearing Mask Correctly,,
3CIS7GGG65Y223BJHMNB3VXX7B4EU9,3KYKM8PUWFRDDAYLMW5WL5X2N313HH,Label each image depending on how the mask is worn,"Categorize each image as either wearing mask correctly, wearing mask incorrectly, or not wearing mask. Wearing mask correctly means that the mask covers the nose and the mouth.","categorize, image, mask",$0.01,Sat Apr 24 17:19:43 PDT 2021,3,BatchId:4420053;OriginalHitTemplateId:928390873;,3600,259200,Sat May 01 17:19:43 PDT 2021,,,3JNQLM5FT529BHA35Q5AZROC7XE2LG,A1L10BVA0EK7VY,Submitted,Sat Apr 24 18:28:05 PDT 2021,Sat Apr 24 18:28:34 PDT 2021,Tue Apr 27 18:28:34 PDT 2021,,,,29,100% (21/21),100% (21/21),100% (21/21),https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-18.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-19.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-20.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-21.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-22.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-23.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss526-2.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss388-12.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss526-3.png,Wearing Mask Correctly,Not Wearing Mask,Wearing Mask Correctly,Wearing Mask Correctly,Wearing Mask Correctly,Not Wearing Mask,Not Wearing Mask,Wearing Mask Correctly,Wearing Mask Incorrectly,,
3N2YPY1GI6D2FI0JMCXGZHZGLIDEVY,3KYKM8PUWFRDDAYLMW5WL5X2N313HH,Label each image depending on how the mask is worn,"Categorize each image as either wearing mask correctly, wearing mask incorrectly, or not wearing mask. Wearing mask correctly means that the mask covers the nose and the mouth.","categorize, image, mask",$0.01,Sat Apr 24 17:19:43 PDT 2021,3,BatchId:4420053;OriginalHitTemplateId:928390873;,3600,259200,Sat May 01 17:19:43 PDT 2021,,,34V1S5K3GTH2SGSV3VENKVETN8T69Y,A2G8OW2VLV1R2D,Submitted,Sat Apr 24 17:38:14 PDT 2021,Sat Apr 24 17:38:37 PDT 2021,Tue Apr 27 17:38:37 PDT 2021,,,,23,100% (23/23),100% (23/23),100% (23/23),https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-24.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-25.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-26.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-27.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-28.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss628-0.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss160-0.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss658-0.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss750-0.png,Wearing Mask Correctly,Wearing Mask Correctly,Wearing Mask Correctly,Wearing Mask Correctly,Wearing Mask Correctly,Wearing Mask Correctly,Not Wearing Mask,Wearing Mask Correctly,Wearing Mask Incorrectly,,
3N2YPY1GI6D2FI0JMCXGZHZGLIDEVY,3KYKM8PUWFRDDAYLMW5WL5X2N313HH,Label each image depending on how the mask is worn,"Categorize each image as either wearing mask correctly, wearing mask incorrectly, or not wearing mask. Wearing mask correctly means that the mask covers the nose and the mouth.","categorize, image, mask",$0.01,Sat Apr 24 17:19:43 PDT 2021,3,BatchId:4420053;OriginalHitTemplateId:928390873;,3600,259200,Sat May 01 17:19:43 PDT 2021,,,36DSNE9QZ6EHNYB8P3RUQPEN4DXJOT,A12K2R139DQ2WG,Submitted,Sat Apr 24 17:21:37 PDT 2021,Sat Apr 24 17:23:11 PDT 2021,Tue Apr 27 17:23:11 PDT 2021,,,,94,0% (0/0),0% (0/0),0% (0/0),https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-24.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-25.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-26.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-27.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-28.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss628-0.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss160-0.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss658-0.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss750-0.png,Wearing Mask Correctly,Wearing Mask Correctly,Wearing Mask Incorrectly,Not Wearing Mask,Wearing Mask Correctly,Wearing Mask Correctly,Not Wearing Mask,Wearing Mask Correctly,Wearing Mask Incorrectly,,
3N2YPY1GI6D2FI0JMCXGZHZGLIDEVY,3KYKM8PUWFRDDAYLMW5WL5X2N313HH,Label each image depending on how the mask is worn,"Categorize each image as either wearing mask correctly, wearing mask incorrectly, or not wearing mask. Wearing mask correctly means that the mask covers the nose and the mouth.","categorize, image, mask",$0.01,Sat Apr 24 17:19:43 PDT 2021,3,BatchId:4420053;OriginalHitTemplateId:928390873;,3600,259200,Sat May 01 17:19:43 PDT 2021,,,3IFS6Q0HJJZ0QFJVE2N3YT9OONDISF,A34JT9RNHPBH31,Submitted,Sat Apr 24 17:38:51 PDT 2021,Sat Apr 24 17:39:00 PDT 2021,Tue Apr 27 17:39:00 PDT 2021,,,,9,0% (0/0),0% (0/0),0% (0/0),https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-24.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-25.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-26.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-27.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss89-28.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss628-0.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss160-0.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss658-0.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss750-0.png,Wearing Mask Correctly,Wearing Mask Correctly,Wearing Mask Correctly,Wearing Mask Correctly,Not Wearing Mask,Wearing Mask Correctly,Not Wearing Mask,Wearing Mask Correctly,Not Wearing Mask,,
311HQEI8RSVYFNQJ018DEDKVN6EZ7W,3KYKM8PUWFRDDAYLMW5WL5X2N313HH,Label each image depending on how the mask is worn,"Categorize each image as either wearing mask correctly, wearing mask incorrectly, or not wearing mask. Wearing mask correctly means that the mask covers the nose and the mouth.","categorize, image, mask",$0.01,Sat Apr 24 17:19:37 PDT 2021,3,BatchId:4420053;OriginalHitTemplateId:928390873;,3600,259200,Sat May 01 17:19:37 PDT 2021,,,30BXRYBRP5DT11PKSPFJV6BUUNWHW2,AL8KR5GQCWSVO,Submitted,Sat Apr 24 17:56:38 PDT 2021,Sat Apr 24 17:57:07 PDT 2021,Tue Apr 27 17:57:07 PDT 2021,,,,29,0% (0/0),0% (0/0),0% (0/0),https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss127-0.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss182-1.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss387-0.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss387-2.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss193-0.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss193-1.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss526-1.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss847-2.png,https://wym-mask-images.s3.amazonaws.com/crop/maksssksksss526-0.png,Wearing Mask Correctly,Wearing Mask Correctly,Wearing Mask Correctly,Wearing Mask Correctly,Wearing Mask Correctly,Wearing Mask Correctly,Not Wearing Mask,Wearing Mask Correctly,Wearing Mask Incorrectly,,
